!EXCLAMATION-POINT,EHAHEYAHOY,EHAHEYAHOYNT,5,20102
"""CLOSE-QUOTE",OWOW,OWOWT,2,11
"""DOUBLE-QUOTE",AHAHOW,AHAHOWT,3,101
"""END-OF-QUOTE",EHAHOW,EHAHOWT,3,101
"""END-QUOTE",EHOW,EHOWT,2,11
"""IN-QUOTES",IHOW,IHOWTS,2,11
"""QUOTE",OW,OWT,1,1
"""UNQUOTE",AHOW,AHOWT,2,11
#HASH-MARK,AEAA,AEAARK,2,12
#POUND-SIGN,AWAY,AWAYN,2,12
#SHARP-SIGN,AAAY,AAAYN,2,12
%PERCENT,EREH,EREHNT,2,01
&AMPERSAND,AEERAE,AEERAEND,3,102
'ALLO,AAOW,AAOW,2,21
'APOSTROPHE,AHAAAHIY,AHAAAHIY,4,0100
'BOUT,AW,AWT,1,1
'CAUSE,AH,AHZ,1,0
'COURSE,AO,AORS,1,1
'CUSE,UW,UWZ,1,1
'EM,AH,AHM,1,0
'END-INNER-QUOTE,EHIHEROW,EHIHEROWT,4,1101
'END-QUOTE,EHOW,EHOWT,2,11
'FRISCO,IHOW,IHOW,2,10
'GAIN,EH,EHN,1,1
'INNER-QUOTE,IHEROW,IHEROWT,3,101
'KAY,EY,EY,1,1
'M,AH,AHM,1,0
'N,AH,AHN,1,0
'QUOTE,OW,OWT,1,1
'ROUND,AW,AWND,1,1
'S,EH,EHS,1,1
'SINGLE-QUOTE,IHAHOW,IHAHOWT,3,101
'TIL,IH,IHL,1,1
'TIS,IH,IHZ,1,1
'TWAS,AH,AHZ,1,1
(BEGIN-PARENS,IHIHEREH,IHIHEREHNZ,4,0101
(IN-PARENTHESES,IHEREHAHIY,IHEREHAHIYZ,5,10102
(LEFT-PAREN,EHEREH,EHEREHN,3,101
(OPEN-PARENTHESES,OWAHEREHAHIY,OWAHEREHAHIYZ,6,100102
(PAREN,EREH,EREHN,2,01
(PARENS,EREH,EREHNZ,2,01
(PARENTHESES,EREHAHIY,EREHAHIYZ,4,0102
)CLOSE-PAREN,OWEREH,OWEREHN,3,101
)CLOSE-PARENTHESES,OWEREHAHIY,OWEREHAHIYZ,5,10102
)END-PAREN,EHEREH,EHEREHN,3,101
)END-PARENS,EHEREH,EHEREHNZ,3,101
)END-PARENTHESES,EHEREHAHIY,EHEREHAHIYZ,5,10102
)END-THE-PAREN,EHAHEREH,EHAHEREHN,4,1001
)PAREN,EREH,EREHN,2,01
)PARENS,EREH,EREHNZ,2,01
)RIGHT-PAREN,AYEHAH,AYEHAHN,3,120
)UN-PARENTHESES,AHEREHAHIY,AHEREHAHIYZ,5,10101
+PLUS,UH,UHS,1,1
",COMMA",AAAH,AAAH,2,10
--DASH,AE,AESH,1,1
-DASH,AE,AESH,1,1
-HYPHEN,AYAH,AYAHN,2,10
...ELLIPSIS,IHIHIH,IHIHIHS,3,210
